,city_id,valid_st,missing_st,wonkiness_st,valid_tr,missing_tr,wonkiness_tr,city,country,total_stations,total_tracks,avg_wonkiness
0,1,785,8,0.01008827238335435,202,4,0.019417475728155338,Buenos Aires,Argentina,793,206,0.019417475728155338
1,4,392,37,0.08624708624708624,91,395,0.8127572016460906,Santiago,Chile,429,486,0.8127572016460906
2,7,34,15,0.30612244897959184,15,3,0.16666666666666666,Algiers,Algeria,49,18,0.16666666666666666
3,8,59,55,0.4824561403508772,29,111,0.7928571428571428,Amsterdam,Netherlands,114,140,0.7928571428571428
4,9,77,0,0.0,32,1,0.030303030303030304,Ankara,Turkey,77,33,0.030303030303030304
5,11,243,3,0.012195121951219513,542,1,0.001841620626151013,Athens,Greece,246,543,0.001841620626151013
6,13,222,0,0.0,22,0,0.0,Bangkok,Thailand,222,22,0.0
7,14,407,33,0.075,213,10,0.04484304932735426,Barcelona,Spain,440,223,0.04484304932735426
8,15,571,1,0.0017482517482517483,115,0,0.0,Beijing,China,572,115,0.0
9,19,12,3,0.2,1,0,0.0,Berlin,Germany,15,1,0.0
10,21,37,0,0.0,20,0,0.0,Bogotá,Colombia,37,20,0.0
11,22,160,248,0.6078431372549019,38,24,0.3870967741935484,Mumbai,India,408,62,0.3870967741935484
12,23,237,0,0.0,233,0,0.0,Bordeaux,France,237,233,0.0
13,27,0,139,1.0,0,268,1.0,Brussels,Belgium,139,268,1.0
14,28,62,0,0.0,26,1,0.037037037037037035,Bucharest,Romania,62,27,0.037037037037037035
15,29,47,0,0.0,15,0,0.0,Budapest,Hungary,47,15,0.0
16,30,111,37,0.25,9,4,0.3076923076923077,Cairo,Egypt,148,13,0.3076923076923077
17,31,57,10,0.14925373134328357,25,3,0.10714285714285714,Calcutta,India,67,28,0.10714285714285714
18,32,430,8,0.0182648401826484,32,140,0.813953488372093,Guangzhou,China,438,172,0.813953488372093
19,34,0,9,1.0,0,2,1.0,Caracas,Venezuela,9,2,1.0
20,37,296,95,0.24296675191815856,59,125,0.6793478260869565,Chongqing,China,391,184,0.6793478260869565
21,39,11,0,0.0,3,0,0.0,Córdoba,Argentina,11,3,0.0
22,43,22,2,0.08333333333333333,12,22,0.6470588235294118,Dublin,Ireland,24,34,0.6470588235294118
23,45,17,10,0.37037037037037035,1,120,0.9917355371900827,Edinburgh,Scotland,27,121,0.9917355371900827
24,48,15,166,0.9171270718232044,3,1246,0.9975980784627703,Glasgow,Scotland,181,1249,0.9975980784627703
25,51,0,6,1.0,0,2,1.0,Hamburg,Germany,6,2,1.0
26,54,440,228,0.3413173652694611,4516,2492,0.3555936073059361,Helsinki,Finland,668,7008,0.3555936073059361
27,56,244,0,0.0,76,0,0.0,Hong Kong,China,244,76,0.0
28,59,558,19,0.03292894280762565,374,53,0.12412177985948478,Jakarta,Indonesia,577,427,0.12412177985948478
29,63,239,0,0.0,44,0,0.0,Kuala Lumpur,Malaysia,239,44,0.0
30,64,33,9,0.21428571428571427,11,20,0.6451612903225806,La Paz,Bolivia,42,31,0.6451612903225806
31,66,31,0,0.0,4,0,0.0,Lima,Peru,31,4,0.0
32,67,55,1,0.017857142857142856,26,1,0.037037037037037035,Lisbon,Portugal,56,27,0.037037037037037035
33,69,903,4,0.004410143329658214,878,7,0.007909604519774011,London,England,907,885,0.007909604519774011
34,70,65,97,0.5987654320987654,20,123,0.8601398601398601,Lyons,France,162,143,0.8601398601398601
35,71,543,17,0.030357142857142857,621,27,0.041666666666666664,Madrid,Spain,560,648,0.041666666666666664
36,72,0,2,1.0,0,51,1.0,Manchester,England,2,51,1.0
37,73,107,38,0.2620689655172414,19,4,0.17391304347826086,Manila,Philippines,145,23,0.17391304347826086
38,74,145,0,0.0,177,0,0.0,Marseilles,France,145,177,0.0
39,77,281,13,0.04421768707482993,267,6,0.02197802197802198,Melbourne,Australia,294,273,0.02197802197802198
40,78,467,0,0.0,59,0,0.0,Mexico City,Mexico,467,59,0.0
41,79,253,1,0.003937007874015748,66,6,0.08333333333333333,Milan,Italy,254,72,0.08333333333333333
42,81,447,16,0.03455723542116631,804,6,0.007407407407407408,Moscow,Russia,463,810,0.007407407407407408
43,82,0,388,1.0,0,486,1.0,Munich,Germany,388,486,1.0
44,84,786,1,0.0012706480304955528,469,2,0.004246284501061571,Nagoya,Japan,787,471,0.004246284501061571
45,86,244,20,0.07575757575757576,25,111,0.8161764705882353,Nanjing,China,264,136,0.8161764705882353
46,87,178,5,0.0273224043715847,52,3,0.05454545454545454,Naples,Italy,183,55,0.05454545454545454
47,88,284,3,0.010452961672473868,146,0,0.0,New Delhi,India,287,146,0.0
48,89,57,0,0.0,18,0,0.0,Newcastle-on-Tyne,England,57,18,0.0
49,91,1333,0,0.0,321,0,0.0,Osaka,Japan,1333,321,0.0
50,95,816,11,0.013301088270858524,483,4,0.008213552361396304,Paris,France,827,487,0.008213552361396304
51,99,0,46,1.0,0,34,1.0,Prague,Czech Republic,46,34,1.0
52,102,81,36,0.3076923076923077,56,88,0.6111111111111112,Rio de Janeiro,Brazil,117,144,0.6111111111111112
53,103,120,1,0.008264462809917356,24,1,0.04,Rome,Italy,121,25,0.04
54,104,18,0,0.0,33,3,0.08333333333333333,Salvador,Brazil,18,36,0.08333333333333333
55,105,77,0,0.0,51,0,0.0,St. Petersburg,Russia,77,51,0.0
56,106,212,25,0.10548523206751055,66,5,0.07042253521126761,São Paulo,Brazil,237,71,0.07042253521126761
57,107,512,16,0.030303030303030304,71,15,0.1744186046511628,Shanghai,China,528,86,0.1744186046511628
58,108,285,1,0.0034965034965034965,60,1,0.01639344262295082,Singapore,Singapore,286,61,0.01639344262295082
59,109,46,1,0.02127659574468085,25,0,0.0,Sofia,Bulgaria,47,25,0.0
60,110,33,24,0.42105263157894735,72,87,0.5471698113207547,Stockholm,Sweden,57,159,0.5471698113207547
61,111,89,0,0.0,37,38,0.5066666666666667,Sydney,Australia,89,75,0.5066666666666667
62,113,145,18,0.11042944785276074,19,10,0.3448275862068966,Teheran,Iran,163,29,0.3448275862068966
63,114,3714,1,0.00026917900403768504,1114,1,0.0008968609865470852,Tokyo,Japan,3715,1115,0.0008968609865470852
64,116,10,6,0.375,0,2,1.0,Venice,Italy,16,2,1.0
65,118,102,0,0.0,119,0,0.0,Vienna,Austria,102,119,0.0
66,120,44,0,0.0,14,0,0.0,Warsaw,Poland,44,14,0.0
67,121,24,1,0.04,3,0,0.0,Wellington,New Zealand,25,3,0.0
68,123,1,1,0.5,9,0,0.0,Monterrey,Mexico,2,9,0.0
69,124,64,21,0.24705882352941178,127,40,0.23952095808383234,Valparaíso,Chile,85,167,0.23952095808383234
70,126,0,20,1.0,1,4,0.8,Guadalajara,México,20,5,0.8
71,128,15,0,0.0,8,0,0.0,Albuquerque,United States,15,8,0.0
72,131,50,0,0.0,30,0,0.0,Atlanta,United States,50,30,0.0
73,132,9,0,0.0,1,91,0.9891304347826086,Austin,United States,9,92,0.9891304347826086
74,134,49,1,0.02,133,1,0.007462686567164179,Baltimore,United States,50,134,0.007462686567164179
75,139,392,4,0.010101010101010102,308,4,0.01282051282051282,Boston,United States,396,312,0.01282051282051282
76,140,15,0,0.0,3,0,0.0,Buffalo,United States,15,3,0.0
77,145,42,0,0.0,9,0,0.0,Charlotte,United States,42,9,0.0
78,147,425,83,0.16338582677165353,175,41,0.18981481481481483,Chicago,United States,508,216,0.18981481481481483
79,148,17,0,0.0,11,0,0.0,Cincinnati,United States,17,11,0.0
80,149,49,2,0.0392156862745098,18,0,0.0,Cleveland,United States,51,18,0.0
81,152,33,1,0.029411764705882353,277,6,0.02120141342756184,Dallas,United States,34,283,0.02120141342756184
82,153,87,1,0.011363636363636364,62,0,0.0,Denver,United States,88,62,0.0
83,159,0,10,1.0,0,6,1.0,Edmonton,Canada,10,6,1.0
84,171,9,0,0.0,4,0,0.0,Honolulu,United States,9,4,0.0
85,173,44,0,0.0,37,0,0.0,Houston,United States,44,37,0.0
86,179,10,0,0.0,11,0,0.0,Kansas City,United States,10,11,0.0
87,189,261,9,0.03333333333333333,1847,26,0.013881473571809931,Los Angeles,United States,270,1873,0.013881473571809931
88,193,62,0,0.0,229,0,0.0,Miami,United States,62,229,0.0
89,195,161,0,0.0,34,0,0.0,Minneapolis,United States,161,34,0.0
90,199,69,12,0.14814814814814814,29,6,0.17142857142857143,Montréal,Canada,81,35,0.17142857142857143
91,201,7,0,0.0,1,0,0.0,Nashville,United States,7,1,0.0
92,205,347,4,0.011396011396011397,58,1,0.01694915254237288,New Orleans,United States,351,59,0.01694915254237288
93,206,1292,47,0.0351008215085885,1139,121,0.09603174603174604,New York,United States,1339,1260,0.09603174603174604
94,209,22,0,0.0,20,0,0.0,Oklahoma City,United States,22,20,0.0
95,211,15,0,0.0,73,0,0.0,Ottawa,Canada,15,73,0.0
96,212,538,2,0.003703703703703704,145,20,0.12121212121212122,Philadelphia,United States,540,165,0.12121212121212122
97,213,58,0,0.0,23,0,0.0,Phoenix,United States,58,23,0.0
98,215,295,1,0.0033783783783783786,345,4,0.011461318051575931,Pittsburgh,United States,296,349,0.011461318051575931
99,217,170,0,0.0,75,0,0.0,Portland,United States,170,75,0.0
100,220,14,0,0.0,3,0,0.0,Raleigh,United States,14,3,0.0
101,223,14,0,0.0,1,0,0.0,Richmond,United States,14,1,0.0
102,225,56,0,0.0,26,0,0.0,Sacramento,United States,56,26,0.0
103,227,39,0,0.0,208,0,0.0,St. Louis,United States,39,208,0.0
104,228,91,0,0.0,20,0,0.0,Salt Lake City,United States,91,20,0.0
105,230,85,3,0.03409090909090909,555,0,0.0,San Diego,United States,88,555,0.0
106,231,57,6,0.09523809523809523,351,44,0.11139240506329114,San Francisco,United States,63,395,0.11139240506329114
107,233,16,0,0.0,26,0,0.0,San Juan,United States,16,26,0.0
108,235,6,0,0.0,1,0,0.0,Savannah,United States,6,1,0.0
109,236,84,8,0.08695652173913043,231,4,0.01702127659574468,Seattle,United States,92,235,0.01702127659574468
110,245,11,0,0.0,2,0,0.0,Tampa,United States,11,2,0.0
111,247,201,64,0.24150943396226415,389,74,0.15982721382289417,Toronto,Canada,265,463,0.15982721382289417
112,249,55,2,0.03508771929824561,154,6,0.0375,Vancouver,Canada,57,160,0.0375
113,252,166,13,0.07262569832402235,1575,343,0.17883211678832117,Washington,United States,179,1918,0.17883211678832117
114,254,1,0,0.0,5,0,0.0,Wilmington,United States,1,5,0.0
115,255,92,0,0.0,34,0,0.0,Winnipeg,Canada,92,34,0.0
116,256,139,113,0.44841269841269843,156,338,0.6842105263157895,Valencia,Spain,252,494,0.6842105263157895
117,257,71,2,0.0273972602739726,122,1,0.008130081300813009,Sevilla,Spain,73,123,0.008130081300813009
118,258,75,1,0.013157894736842105,22,0,0.0,Bilbao,Spain,76,22,0.0
119,259,6,0,0.0,37,0,0.0,Rosario,Argentina,6,37,0.0
120,261,65,1,0.015151515151515152,33,2,0.05714285714285714,Concepción,Chile,66,35,0.05714285714285714
121,262,8,0,0.0,5,0,0.0,Genoa,Italy,8,5,0.0
122,263,77,0,0.0,18,0,0.0,Graz,Austria,77,18,0.0
123,264,0,6,1.0,3,0,0.0,Zaragoza,Spain,6,3,0.0
124,265,260,24,0.08450704225352113,600,119,0.16550764951321278,Nantes,France,284,719,0.16550764951321278
125,266,67,0,0.0,92,0,0.0,Rennes,France,67,92,0.0
126,267,0,107,1.0,0,185,1.0,Innsbruck,Austria,107,185,1.0
127,268,10,25,0.7142857142857143,9,148,0.9426751592356688,San Sebastián,Spain,35,157,0.9426751592356688
128,275,67,1,0.014705882352941176,74,0,0.0,Angers,France,68,74,0.0
129,280,5,1,0.16666666666666666,36,2,0.05263157894736842,Clermont-Ferrand,France,6,38,0.05263157894736842
130,283,2,0,0.0,182,0,0.0,Besancon,France,2,182,0.0
131,286,165,4,0.023668639053254437,147,2,0.013422818791946308,Grenoble,France,169,149,0.013422818791946308
132,293,56,0,0.0,9,1,0.1,Brest,France,56,10,0.1
133,294,69,1,0.014285714285714285,180,2,0.01098901098901099,Le Mans,France,70,182,0.01098901098901099
134,300,150,21,0.12280701754385964,193,33,0.14601769911504425,Montpellier,France,171,226,0.14601769911504425
135,305,67,0,0.0,39,0,0.0,Dijon,France,67,39,0.0
136,307,62,0,0.0,40,3,0.06976744186046512,Tours,France,62,43,0.06976744186046512
137,308,9,0,0.0,41,0,0.0,Orleans,France,9,41,0.0
138,310,54,3,0.05263157894736842,59,1,0.016666666666666666,Rouen,France,57,60,0.016666666666666666
139,317,70,2,0.027777777777777776,135,0,0.0,Mulhouse,France,72,135,0.0
140,318,53,0,0.0,81,0,0.0,Nancy,France,53,81,0.0
141,324,34,0,0.0,22,0,0.0,Nice,France,34,22,0.0
142,325,0,73,1.0,0,116,1.0,Toulouse,France,73,116,1.0
143,327,33,2,0.05714285714285714,106,4,0.03636363636363636,Lille,France,35,110,0.03636363636363636
144,331,44,2,0.043478260869565216,44,1,0.022222222222222223,Le Havre,France,46,45,0.022222222222222223
145,336,8,2,0.2,14,4,0.2222222222222222,Alicante,Spain,10,18,0.2222222222222222
146,338,15,0,0.0,2,1,0.3333333333333333,Neuquén,Argentina,15,3,0.3333333333333333
147,339,15,0,0.0,4,0,0.0,Quito,Ecuador,15,4,0.0
148,340,77,0,0.0,16,0,0.0,Pune,India,77,16,0.0
149,341,68,1,0.014492753623188406,62,0,0.0,Doha,Qatar,69,62,0.0
150,342,370,5,0.013333333333333334,83,2,0.023529411764705882,Istanbul,Turkey,375,85,0.023529411764705882
151,344,27,1,0.03571428571428571,5,0,0.0,Bergen,Norway,28,5,0.0
152,345,130,1,0.007633587786259542,30,2,0.0625,Izmir,Turkey,131,32,0.0625
153,346,77,4,0.04938271604938271,71,1,0.013888888888888888,Bursa,Turkey,81,72,0.013888888888888888
154,347,69,12,0.14814814814814814,8,0,0.0,Antalya,Turkey,81,8,0.0
155,348,13,0,0.0,16,0,0.0,Adana,Turkey,13,16,0.0
156,350,29,0,0.0,6,0,0.0,Kocaeli,Turkey,29,6,0.0
157,351,79,1,0.0125,77,0,0.0,Eskisehir,Turkey,80,77,0.0
158,352,11,0,0.0,1,0,0.0,Norfolk,United States,11,1,0.0
159,353,16,1,0.058823529411764705,2,1,0.3333333333333333,Dhaka,Bangladesh,17,3,0.3333333333333333
160,354,0,4,1.0,0,134,1.0,Rotterdam - The Hague,Netherlands,4,134,1.0
161,356,866,10,0.01141552511415525,174,0,0.0,Seoul,South Korea,876,174,0.0
162,357,158,2,0.0125,18,0,0.0,Busan,South Korea,160,18,0.0
163,358,243,0,0.0,46,0,0.0,Taipei,Taiwan,243,46,0.0
164,359,17,0,0.0,4,0,0.0,Macau,China,17,4,0.0
165,361,0,65,1.0,0,58,1.0,Tegal,Indonesia,65,58,1.0
166,362,2,0,0.0,2,0,0.0,Changchun,China,2,2,0.0
167,363,148,1,0.006711409395973154,12,0,0.0,Changsha,China,149,12,0.0
168,364,397,47,0.10585585585585586,43,5,0.10416666666666667,Chengdu,China,444,48,0.10416666666666667
169,365,97,3,0.03,131,0,0.0,Dalian,China,100,131,0.0
170,366,15,0,0.0,4,0,0.0,Dongguan,China,15,4,0.0
171,367,64,0,0.0,15,0,0.0,Fuzhou,China,64,15,0.0
172,368,54,1,0.01818181818181818,31,0,0.0,Guiyang,China,55,31,0.0
173,369,335,20,0.056338028169014086,38,5,0.11627906976744186,Hangzhou,China,355,43,0.11627906976744186
174,370,77,0,0.0,10,0,0.0,Harbin,China,77,10,0.0
175,373,42,1,0.023255813953488372,12,0,0.0,Jinan,China,43,12,0.0
