,city_id,valid_st,missing_st,wonkiness_st,valid_tr,missing_tr,wonkiness_tr,city,country,total_stations,total_tracks,avg_wonkiness
0,1,795,0,0.0,206,0,0.0,Buenos Aires,Argentina,795,206,0.0
1,4,464,0,0.0,486,0,0.0,Santiago,Chile,464,486,0.0
2,7,58,0,0.0,18,0,0.0,Algiers,Algeria,58,18,0.0
3,8,150,0,0.0,140,0,0.0,Amsterdam,Netherlands,150,140,0.0
4,9,104,0,0.0,33,0,0.0,Ankara,Turkey,104,33,0.0
5,11,421,0,0.0,543,0,0.0,Athens,Greece,421,543,0.0
6,13,223,0,0.0,22,0,0.0,Bangkok,Thailand,223,22,0.0
7,14,866,0,0.0,223,0,0.0,Barcelona,Spain,866,223,0.0
8,15,577,0,0.0,115,0,0.0,Beijing,China,577,115,0.0
9,19,15,0,0.0,1,0,0.0,Berlin,Germany,15,1,0.0
10,21,37,0,0.0,20,0,0.0,Bogotá,Colombia,37,20,0.0
11,22,445,0,0.0,62,0,0.0,Mumbai,India,445,62,0.0
12,23,237,0,0.0,233,0,0.0,Bordeaux,France,237,233,0.0
13,26,24,0,0.0,6,0,0.0,Bristol,England,24,6,0.0
14,27,351,0,0.0,272,0,0.0,Brussels,Belgium,351,272,0.0
15,28,70,0,0.0,27,0,0.0,Bucharest,Romania,70,27,0.0
16,29,51,0,0.0,15,0,0.0,Budapest,Hungary,51,15,0.0
17,30,154,0,0.0,13,0,0.0,Cairo,Egypt,154,13,0.0
18,31,69,0,0.0,28,0,0.0,Calcutta,India,69,28,0.0
19,32,438,0,0.0,172,0,0.0,Guangzhou,China,438,172,0.0
20,34,9,0,0.0,2,0,0.0,Caracas,Venezuela,9,2,0.0
21,37,403,0,0.0,184,0,0.0,Chongqing,China,403,184,0.0
22,39,11,0,0.0,6,0,0.0,Córdoba,Argentina,11,6,0.0
23,43,28,0,0.0,34,0,0.0,Dublin,Ireland,28,34,0.0
24,45,27,0,0.0,121,0,0.0,Edinburgh,Scotland,27,121,0.0
25,48,208,0,0.0,1249,0,0.0,Glasgow,Scotland,208,1249,0.0
26,51,6,0,0.0,2,0,0.0,Hamburg,Germany,6,2,0.0
27,54,1377,0,0.0,7008,0,0.0,Helsinki,Finland,1377,7008,0.0
28,56,303,0,0.0,78,0,0.0,Hong Kong,China,303,78,0.0
29,59,695,0,0.0,427,0,0.0,Jakarta,Indonesia,695,427,0.0
30,63,263,0,0.0,44,0,0.0,Kuala Lumpur,Malaysia,263,44,0.0
31,64,45,0,0.0,31,0,0.0,La Paz,Bolivia,45,31,0.0
32,66,31,0,0.0,4,0,0.0,Lima,Peru,31,4,0.0
33,67,56,0,0.0,27,0,0.0,Lisbon,Portugal,56,27,0.0
34,69,1386,0,0.0,885,0,0.0,London,England,1386,885,0.0
35,70,162,0,0.0,143,0,0.0,Lyons,France,162,143,0.0
36,71,878,0,0.0,654,0,0.0,Madrid,Spain,878,654,0.0
37,72,2,0,0.0,51,0,0.0,Manchester,England,2,51,0.0
38,73,161,0,0.0,28,0,0.0,Manila,Philippines,161,28,0.0
39,74,197,0,0.0,183,0,0.0,Marseilles,France,197,183,0.0
40,77,327,0,0.0,273,0,0.0,Melbourne,Australia,327,273,0.0
41,78,467,0,0.0,59,0,0.0,Mexico City,Mexico,467,59,0.0
42,79,279,0,0.0,72,0,0.0,Milan,Italy,279,72,0.0
43,80,4,0,0.0,1,0,0.0,Montevideo,Uruguay,4,1,0.0
44,81,488,0,0.0,810,0,0.0,Moscow,Russia,488,810,0.0
45,82,538,0,0.0,486,0,0.0,Munich,Germany,538,486,0.0
46,84,1618,0,0.0,471,0,0.0,Nagoya,Japan,1618,471,0.0
47,86,264,0,0.0,136,0,0.0,Nanjing,China,264,136,0.0
48,87,189,0,0.0,55,0,0.0,Naples,Italy,189,55,0.0
49,88,288,0,0.0,146,0,0.0,New Delhi,India,288,146,0.0
