id,city_id,name,url_name,color,system_id,transport_mode_id
43,4,Línea 2,43-linea-2,#ffbe2e,267,4
2052,59,Line 1,2052-m1-phase-1,#ce0037,675,4
72,4,FFCC Llano del Maipo,72-ffcc-llanos-del-maipo,#bd10e0,478,9
73,4,FFCC Yungay-Barrancas,73-ffcc-yungay---barranas,#bd10e0,478,9
2807,215,Monogahela Street Railway,2807-monogahela-street-railway,#000,793,9
2070,59,Line 2,2070-m2-phase-3,#f1c400,675,4
2844,344,Line 1,2844-line-1,#ce4b22,803,5
2101,217,WES Commuter Rail,2101-wes-commuter-rail,#585858,202,3
6386,108,Seletar Line,6386-seletar-line,#000,95,4
5,1,A,a,#39b3d8,254,4
6,1,B,b,#e84736,254,4
7,1,C,c,#006ca8,254,4
8,1,D,d,#007968,254,4
1615,259,1,1615-1,#000,244,9
2845,45,Line 1,2845-line-1,#4a90e2,804,9
2102,217,Portland Aerial Tram,2102-portland-aerial-tram,#ffee3b,688,7
2103,217,North South Line,2103-north-south-line,#7ed321,689,9
2104,217,A Loop,2104-a-loop,#e0108b,689,9
1710,110,25,1710-25,#00aaad,644,5
1711,110,26,1711-26,#00aaad,644,5
2105,217,B Loop,2105-b-loop,#409ec3,689,9
3653,342,M2,3653-m2,#009943,1011,4
2055,59,Central Line,2055-central-line,#ec2329,676,3
2054,59,Cikarang Line,2054-cikarang-line,#26baed,676,3
2106,108,Changi Airport Skytrain,2106-changi-airport-skytrain,#feca37,690,7
2053,59,Loop Line,2053-loop-line,#fbb316,676,3
2107,108,Sentosa Express,2107-sentosa-express,#f07d00,691,7
2056,59,Rangkas Bitung Line,2056-rangkas-bitung-line,#98ca3f,676,3
4732,206,BQX,4732-bqx,#000,1201,9
2127,131,Atlanta Streetcar,2127-atlanta-streetcar,#003baf,124,9
2057,59,Tangerang Line,2057-tangerang-line,#c25f28,676,3
1779,59,TJ koridor 1,1779-tj-koridor-1,#cf1d24,51,6
2128,245,TECO Line,2128-teco-line,#ab0015,230,9
2058,59,Tanjung Priok Line,2058-tanjung-priok-line,#f64a8a,676,3
219,110,14,219-red-line,#d0021b,257,4
2143,27,8,2143-8,#4a90e2,706,5
2144,27,9,2144-9,#bd10e0,706,5
45,4,Línea 4,45-linea-4,#292d91,267,4
40,4,Línea 4A,40-linea-4a,#0099ff,267,4
46,4,Línea 5,46-linea-5,#006633,267,4
60,4,Línea 6,60-linea-6,#8e16a1,267,4
70,4,Metrotrén Nos,70-nos-express,#4a90e2,268,4
223,110,12,223-nockebybanan,#385369,476,5
227,79,M1,227-m1,#ee2e24,67,4
10,1,H,h,#fdd500,254,4
42,4,Línea 1 ,42-linea-1-,#cc0000,267,4
2067,59,Line A (Phase 2) (Planned),2067-line-a-(phase-2)-(planned),#f39700,662,5
11,1,Premetro,p,#f6b834,254,9
158,4,Santiago / San Bernardo,158-ffcc-de-circunvalacion,#4a90e2,751,3
2071,59,Line 1,2071-line-1,#d0021b,682,1
4228,199,exo5 - Mascouche,4228-mascouche-line,#ca5798,1107,3
3657,342,M3,3657-m3,#00a9e2,1011,4
4227,199,exo3 - Mont-Saint-Hilaire,4227-mont-saint-hilaire-line,#999ac6,1107,3
170,78,Tren interurbano México - Toluca,170-tren-interurbano-mexico---toluca,#000,272,2
3658,342,M4,3658-m4,#e91977,1011,4
3667,11,Γραμμή 16,3667-line-16,#f8c51c,990,9
3659,342,M5,3659-m5,#672c65,1011,4
3660,342,M6,3660-m6,#c9ab78,1011,4
3661,342,M7,3661-m7,#f29fc0,1011,4
200,4,Mapocho / Puerto,200-ffcc-santiago---valparaiso,#000,276,2
226,79,S9,226-s9,#aa409f,269,3
222,110,Premetro Lines,222-premetro-lines,#000,257,5
145,110,19,145-green-line,#7ed321,257,4
220,110,10,220-blue-line,#4a90e2,257,4
59,4,Línea 3,59-linea-3,#925020,267,4
501,114,Mizonokuchi Line,501-mizonokuchi-line,#5f0101,312,5
330,114,Hanzomon Line,330-hanzomon-line,#8f76d6,100,4
279,106,Expresso Turístico • Luz-Mogi das Cruzes (CPTM),279-expresso-turistico-•-luz-mogi-das-cruzes,#761418,275,5
3662,342,M9,3662-m9,#ffd400,1011,4
3664,342,T3,3664-t3,#a86528,1011,9
2117,73,Line 9 (Metro Manila Subway),2117-line-9,#fc4c02,693,4
2066,120,Linia M2,2066-m2,#c60c30,105,4
2065,120,Linia M1,2065-m1,#005bbb,105,4
1598,48,Milngavie Branch,1598-milngavie-branch,#a29539,625,3
77,78,Línea 1,77-linea-1-metrobus-,#b12118,264,6
3666,342,T5,3666-t5,#7d73b4,1011,5
229,79,M3,229-m3,#fdb813,67,4
1472,91,Sanyo Shinkansen,1472-sanyo-shinkansen,#0072ba,78,1
1471,91,Tokaido Shinkansen,1471-tokaido-shinkansen,#0072ba,551,1
3665,342,T4,3665-t4,#ff803e,1011,5
3654,342,M1A,3654-m1,#ef1c24,1011,5
3655,342,M1B,3655-m1b,#ef1c24,1011,5
2886,362,Line 1,2886-line-1,#f50404,806,0
1780,59,TJ koridor 2,1780-tj-koridor-2,#264598,51,6
115,69,Northern,115-norther-line,#000,259,4
6419,71,Azucarera,6419-azucarera,#000,1154,5
2572,231,Sutro Railroad (Electric),2572-sutro-railroad,#f8e71c,766,9
333,114,Asakusa Line,333-asakusa-line,#e85298,293,4
228,79,M2,228-m2,#5d9732,67,4
56,78,Línea A,56-linea-a,#991a91,248,4
280,106,Expresso Turístico • Luz-Paranapiacaba (CPTM),280-expresso-turistico-•-luz-paranapiacaba,#761418,275,5
57,78,Línea B,57-linea-b,#018c65,248,4
48,78,Línea 2,48-linea-2,#0164a8,248,4
52,78,Línea 6,52-linea-6,#da251c,248,4
49,78,Línea 3,49-linea-3,#9e9a36,248,4
50,78,Línea 4,50-linea-4,#6fb6ae,248,4
54,78,Línea 8,54-linea-8,#00923f,248,4
58,78,Línea 12,58-linea-12,#b89d4e,248,4
55,78,Línea 9,55-linea-9,#4f2926,248,4
53,78,Línea 7,53-linea-7,#e87b14,248,4
245,79,S4,245-s4,#67ad12,269,3
