id,name,geometry,buildstart,opening,closure,city_id
7694,Keisei Tsudanuma,POINT(140.02481219712917 35.683774478472316),1921,1921,999999,114
7732,Saint-Charles,POINT(5.3801556 43.3024646),1973,1977,999999,74
7695,Keisei Makuhari-Hongo,POINT(140.0421467251747 35.67260211599806),1991,1991,999999,114
7726,Chartreux,POINT(5.4014815 43.309129),1973,1977,999999,74
7696,Keisei Makuhari,POINT(140.05607709328592 35.660559122596055),1921,1921,999999,114
7719,Malpassé,POINT(5.4165033 43.3209501),1973,1977,999999,74
7697,Kemigawa,POINT(140.0663045891066 35.65262803756424),1921,1921,999999,114
1,Caseros,POINT(-58.398907563412216 -34.63584183937791),2001,2007,,1
7698,Keisei Inage,POINT(140.08560740241393 35.637803580356334),1921,1921,999999,114
7699,Midoridai,POINT(140.09754191728155 35.62492331388863),1923,1923,999999,114
7700,Nishi-Nobuto,POINT(140.102753500154 35.617733137675586),1922,1922,999999,114
7721,Saint-Just,POINT(5.4064408 43.3154374),1973,1977,999999,74
7701,Shin-Chiba,POINT(140.10842330834072 35.61244011115838),1923,1923,999999,114
7702,Keisei Chiba,POINT(140.11416352572104 35.611676413258365),1967,1967,999999,114
7703,Chiba-Chuo,POINT(140.1179092174201 35.60734563421373),1921,1921,999999,114
7722,Chartreux,POINT(5.4014558 43.3091365),1973,1977,999999,74
7704,Chigasaki,POINT(139.4073352577539 35.330842075948524),1921,1921,999999,114
7705,Samukawa,POINT(139.38736977055441 35.36763194335434),1921,1921,999999,114
15837,Villa Crespo,POINT(-58.4467196357067 -34.59259952085958),2018,2023,999999,1
7706,Kurami,POINT(139.37838111492326 35.394902404615046),1926,1926,999999,114
31705,Bakırköy,POINT(28.87374653790669 40.98050879378167),,2019,999999,342
7707,Atsugi,POINT(139.37859007168504 35.443706050224165),1926,1926,999999,114
16718,Sáenz,POINT(-58.41772579034085 -34.64947650634418),,999999,999999,1
7709,Kita-Chigasaki,POINT(139.40778574942243 35.33914541363846),1940,1940,999999,114
7711,Miyayama,POINT(139.37969309887882 35.38183832971454),1931,1931,999999,114
7713,Shake,POINT(139.37719695239775 35.42067629652864),1926,1926,999999,114
14366,Greenvale,POINT(-73.62687439041125 40.81557000750553),1866,1866,,206
7714,La Rose,POINT(5.4296877 43.3331465),1973,1977,999999,74
36639,Tongliangxi,POINT(106.04283280364837 29.828373551347042),2019,2025,,37
31685,Küçükpazar,POINT(28.964033886241168 41.02030496030855),2020,2023,999999,342
14185,Steinway Street,POINT(-73.92091571833905 40.75669425441211),1933,1933,,206
9191,Fukagawa-nichome,POINT(139.79751702498487 35.677619296199396),1908,1908,1972,114
7708,Hashimoto,POINT(139.34489334816175 35.59482751309139),1931,1931,999999,114
6008,Hatanodai,POINT(139.70274552103263 35.604863304402556),1927,1927,1963,114
32663,Nagoya,POINT(136.8809658432458 35.17171006149853),2017,2027,,84
1703,万寿路 Wànshòu Lù,POINT(116.28896686311626 39.90628944193913),1965,1971,999999,15
6009,Hatanodai,POINT(139.70275440791363 35.604871562095326),1963,1963,1979,114
7752,Vieux Port,POINT(5.3743705 43.295575),1973,1978,999999,74
7736,Castellane,POINT(5.3846563 43.2862329),1973,1978,999999,74
36094,Kouhsar,POINT(51.27986883022311 35.7698103535066),2019,2023,,113
36097,Shahr-e Ziba,POINT(51.295821156714624 35.74615030002303),2019,2023,,113
36096,Shahran,POINT(51.287664922007764 35.753557010842755),2019,2023,,113
36098,"",POINT(51.203353561980975 35.53730658117799),,,,113
36099,"",POINT(51.2302926237283 35.55133167343416),,,,113
36101,Odenton,POINT(-76.7057006 39.0882349),,1872,,252
36946,Hackettstown,POINT(-74.8347366024767 40.85198486099719),,1994,,206
31756,Yıldıztepe,POINT(28.858096136948376 41.019496732325536),2015,2025,999999,342
7710,Kagawa,POINT(139.39998023962136 35.356151197105575),1921,1921,999999,114
14340,Flushing–Main Street,POINT(-73.82993283020778 40.758587773793835),1854,1854,,206
7712,Kadosawabashi,POINT(139.38043857363886 35.406447526086524),1931,1931,999999,114
10666,Grand'Place,POINT(5.7321696 45.1590543),1984,1987,999999,286
7715,Frais Vallon,POINT(5.4231789 43.3254875),1973,1977,999999,74
7727,Cinq Avenues Longchamp,POINT(5.3963231 43.3040802),1973,1977,999999,74
7723,Cinq Avenues Longchamp,POINT(5.3963067 43.3041592),1973,1977,999999,74
14049,Gibson,POINT(-73.70179039613656 40.64989370444238),1928,1928,,206
7737,Colbert,POINT(5.3742947 43.3002995),1973,1978,999999,74
7753,Colbert,POINT(5.3744314 43.3002742),1973,1978,999999,74
14052,Cedarhurst,POINT(-73.72546703237936 40.62263726624391),1869,1869,,206
37471,Astoria - 27th Ave,POINT(-73.9318284167475 40.77420680803317),2016,2025,,206
36104,Garrett Park,POINT(-77.0935735 39.0389996),,,,252
8523,Villon,POINT(4.8633398 45.7384266),0,0,999999,70
8525,Archives Départementales,POINT(4.8617846 45.7542346),0,0,999999,70
6005,Kita-Senzoku,POINT(139.69339331122507 35.60627941866878),1928,1928,1963,114
6102,Asakusa,POINT(139.79227936120162 35.71296230581777),1997,2005,999999,114
6006,Kita-Senzoku,POINT(139.69341092858184 35.60630254157931),1963,1963,1979,114
24925,Jinjiang Hotel,POINT(104.06358779910101 30.6526186039237),2006,2010,,364
6007,Kita-Senzoku,POINT(139.69340440746282 35.60628928683151),1979,1979,999999,114
7771,National,POINT(5.3730689 43.3151538),1982,1987,999999,74
7772,Bougainville,POINT(5.3713918 43.3208381),1982,1987,999999,74
7749,Baille,POINT(5.3919658 43.2881308),1990,1992,999999,74
7745,La Blancarde,POINT(5.4061939 43.2955624),2004,2010,999999,74
7741,Louis Armand,POINT(5.4135707 43.2999653),2004,2010,999999,74
7754,La Fourragère,POINT(5.4241011 43.3038114),2004,2010,999999,74
36105,Washington Grove,POINT(-77.1777457 39.1364562),,1873,,252
36103,Kensington,POINT(-77.0717151 39.0268317),,1891,,252
36102,BWI Thurgood Marshall Airport,POINT(-76.6945299 39.1919852),,1980,,252
6010,Hatanodai,POINT(139.70273790373142 35.6048560789323),1979,1979,999999,114
6026,Ohashi,POINT(139.6868113689003 35.651803681139555),1907,1907,1969,114
6011,Ebaramachi,POINT(139.70757959810237 35.60385951951484),1927,1927,1963,114
6012,Ebaramachi,POINT(139.70757959810237 35.60387310896796),1963,1963,1979,114
6013,Ebaramachi,POINT(139.70757820527132 35.603865181790084),1979,1979,999999,114
6034,Sakura-Shimmachi,POINT(139.6440060717673 35.6315405632711),1907,1907,1969,114
6014,Nakanobu,POINT(139.71264263028053 35.60573881150847),1927,1927,1963,114
6015,Nakanobu,POINT(139.71263156700417 35.60574630725428),1963,1963,1979,114
24926,Huaxiba,POINT(104.0638138768877 30.645303822087826),2006,2010,,364
6016,Nakanobu,POINT(139.71263707584086 35.605741461421104),1979,1979,999999,114
6035,Tamaden-Seta,POINT(139.63074355662127 35.62057302645297),1907,1907,1969,114
6017,Togoshi-koen,POINT(139.71831946211944 35.60895200746917),1927,1927,1963,114
6018,Togoshi-koen,POINT(139.71831768209665 35.60896286147627),1963,1963,1979,114
6099,Urawa-Misono,POINT(139.72757453343718 35.893947202522014),1995,2001,999999,114
6019,Togoshi-koen,POINT(139.71832925244058 35.60896286147627),1979,1979,999999,114
6082,Hodogaya,POINT(139.5996561804663 35.44666986077954),1980,1980,999999,114
6020,Shimo-Shimmei,POINT(139.72640663163048 35.60872824829907),1927,1927,1963,114
6021,Shimo-Shimmei,POINT(139.72641731194506 35.60874561476116),1963,1963,1979,114
6022,Shimo-Shimmei,POINT(139.7264155318867 35.60873765512777),1979,1979,999999,114
6038,Sasazuka,POINT(139.66706060701068 35.67362376076095),1913,1913,999999,114
6023,Oimachi,POINT(139.7343769354348 35.60755219730552),1927,1927,1963,114
6095,Hatogaya,POINT(139.7361585293619 35.83087967303476),1995,2001,999999,114
6024,Oimachi,POINT(139.7343791649206 35.60757213613883),1963,1963,1979,114
6037,Hatagaya,POINT(139.6769726070069 35.676852644740684),1913,1913,1978,114
6025,Oimachi,POINT(139.7343791649206 35.60756216672735),1979,1979,999999,114
6083,Higashi-Totsuka,POINT(139.5566889618861 35.43033056348429),1980,1980,999999,114
6041,Chofu,POINT(139.54419349069292 35.651893559514534),1913,1913,999999,114
6043,Keio-Hachioji,POINT(139.34341881639443 35.65771280996498),1925,1925,999999,114
6081,Yokohama,POINT(139.62249478515628 35.466494924997576),1980,1980,999999,114
236,"Simon Bolivar

",POINT(-70.57210669628884 -33.445576809915),2002,2005,999999,4
14838,North Station,POINT(-71.06120770269798 42.365502011770985),1912,1912,2004,139
6080,Shin-Kawasaki,POINT(139.67169943125924 35.55156654825345),1980,1980,999999,114
6096,Araijuku,POINT(139.73721746922882 35.84298468735341),1995,2001,999999,114
14051,Woodmere,POINT(-73.712655849361 40.632141103099514),1869,1869,,206
6093,Kawaguchi-Motogo,POINT(139.73037761521022 35.800493004706226),1995,2001,999999,114
6094,Minami-Hatogaya,POINT(139.73619310504728 35.81663493961466),1995,2001,999999,114
6097,Tozuka-Angyo,POINT(139.75377591121628 35.85885175727775),1995,2001,999999,114
6098,Higashi-Kawaguchi,POINT(139.74457128002553 35.875555524939145),1995,2001,999999,114
6106,Rokucho,POINT(139.82189396589644 35.78485925721924),1997,2005,999999,114
6105,Aoi,POINT(139.82035478952423 35.771735417048106),1997,2005,999999,114
6129,Hitotsubashi-gakuen,POINT(139.4801243929578 35.7217857467046),1928,1928,999999,114
