id,section_id,line_id,created_at,updated_at,city_id,fromyear,toyear,deprecated_line_group
2494,1278,343,2017-11-21 00:00:00,2017-11-21 00:00:00,252,,,0
4124,4477,779,2017-11-21 00:09:55.135507,2017-11-21 00:09:55.135507,63,,,0
2495,21,9,2017-11-21 00:00:00,2017-11-21 00:00:00,1,,,0
2496,940,228,2017-11-21 00:00:00,2017-11-21 00:00:00,79,,,0
4129,4478,793,2017-11-21 17:44:39.765832,2017-11-21 17:44:39.765832,48,,,0
4139,4483,797,2017-11-23 21:51:04.515237,2017-11-23 21:51:04.515237,114,,,0
4180,4522,657,2017-11-30 17:36:52.150194,2017-11-30 17:36:52.150194,1,,,0
4181,4523,657,2017-11-30 18:02:36.400933,2017-11-30 18:02:36.400933,1,,,0
4182,4524,657,2017-11-30 18:02:36.429198,2017-11-30 18:02:36.429198,1,,,0
4184,4526,657,2017-11-30 18:50:01.420808,2017-11-30 18:50:01.420808,1,,,0
4185,4527,657,2017-11-30 18:58:14.872085,2017-11-30 18:58:14.872085,1,,,0
4186,4528,561,2017-11-30 20:32:01.357376,2017-11-30 20:32:01.357376,1,,,0
4187,4529,561,2017-11-30 23:12:46.570124,2017-11-30 23:12:46.570124,1,,,0
19236,17679,2968,2021-02-24 22:23:38.781062,2021-02-24 22:23:38.787417,54,2006,,0
4207,4549,548,2017-12-03 13:26:39.657103,2017-12-03 13:26:39.657103,147,,,0
4208,4550,552,2017-12-03 13:26:39.670924,2017-12-03 13:26:39.670924,147,,,0
4209,4550,554,2017-12-03 13:26:39.673766,2017-12-03 13:26:39.673766,147,,,0
4210,4550,553,2017-12-03 13:26:39.676606,2017-12-03 13:26:39.676606,147,,,0
4329,4660,822,2017-12-05 17:35:01.994658,2017-12-05 17:35:01.994658,114,,,0
4330,4661,822,2017-12-05 17:38:51.175604,2017-12-05 17:38:51.175604,114,,,0
4331,4662,824,2017-12-05 17:43:53.782815,2017-12-05 17:43:53.782815,114,,,0
4332,4663,824,2017-12-05 17:45:21.870029,2017-12-05 17:45:21.870029,114,,,0
4333,4664,824,2017-12-05 17:45:21.887708,2017-12-05 17:45:21.887708,114,,,0
4334,4665,681,2017-12-05 20:07:58.815285,2017-12-05 20:07:58.815285,114,,,0
